y_true,churn_probability,churn_prediction,risk_tier,cluster,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,rfm_total,rfm_segment,device_per_tenure,cashback_per_order,inactivity_ratio
1,1.0,1,High Risk,2,0.0,Computer,1,30.0,Cash on Delivery,Male,3.0,4,Fashion,5,Single,2,0,12.0,1.0,1.0,9.0,187.22,7,Hibernating,4.0,93.61,9.0
1,1.0,1,High Risk,0,7.0,Computer,1,30.0,Debit Card,Male,,3,Mobile,3,Married,4,1,22.0,0.0,1.0,0.0,131.61,7,Recent Customers,0.375,65.805,0.0
1,1.0,1,High Risk,2,2.0,Mobile,1,9.0,Credit Card,Male,3.0,4,Laptop & Accessory,4,Married,6,0,12.0,2.0,2.0,5.0,173.55,9,Loyal,1.3333333333333333,57.85,1.6666666666666667
1,1.0,1,High Risk,3,0.0,Mobile,3,19.0,E wallet,Male,3.0,4,Laptop & Accessory,5,Married,6,1,13.0,1.0,2.0,2.0,161.34,10,Loyal,4.0,53.78,2.0
1,1.0,1,High Risk,0,1.0,Mobile,1,35.0,Credit Card,Male,3.0,3,Laptop & Accessory,5,Divorced,8,1,19.0,0.0,1.0,0.0,166.73,10,Recent Customers,1.5,83.365,0.0
1,1.0,1,High Risk,2,0.0,Mobile,1,,Cash on Delivery,Male,3.0,4,Mobile,5,Single,7,0,13.0,1.0,1.0,7.0,123.62,4,Hibernating,4.0,61.81,7.0
1,1.0,1,High Risk,2,0.0,Mobile,1,,Cash on Delivery,Female,3.0,4,Mobile,4,Divorced,6,0,16.0,0.0,1.0,1.0,125.46,6,Recent Customers,4.0,62.73,1.0
1,1.0,1,High Risk,2,1.0,Mobile,1,8.0,Credit Card,Male,2.0,3,Laptop & Accessory,4,Married,5,0,11.0,0.0,1.0,4.0,148.55,5,Hibernating,1.5,74.275,2.0
1,1.0,1,High Risk,1,10.0,Mobile,3,16.0,Credit Card,Male,4.0,5,Fashion,1,Single,3,0,17.0,4.0,5.0,,221.19,14,Champions,0.4545454545454545,36.865,
1,1.0,1,High Risk,2,1.0,Computer,1,16.0,Debit Card,Male,4.0,4,Laptop & Accessory,5,Married,6,0,18.0,1.0,2.0,8.0,178.46,8,Loyal,2.0,59.48666666666667,4.0
1,1.0,1,High Risk,0,1.0,Mobile,1,35.0,Credit Card,Male,3.0,3,Laptop & Accessory,5,Married,8,1,19.0,1.0,1.0,0.0,166.73,10,Recent Customers,1.5,83.365,0.0
1,1.0,1,High Risk,1,10.0,Computer,3,15.0,Debit Card,Male,2.0,5,Grocery,3,Married,8,0,11.0,6.0,14.0,,229.36,15,Champions,0.4545454545454545,15.290666666666668,
0,1.0,1,High Risk,3,1.0,Mobile,3,30.0,E wallet,Female,3.0,5,Laptop & Accessory,1,Married,9,1,20.0,1.0,2.0,1.0,166.57,11,Loyal,2.5,55.52333333333333,0.5
1,1.0,1,High Risk,2,1.0,Mobile,1,23.0,Debit Card,Female,3.0,2,Mobile Phone,5,Single,3,0,17.0,4.0,16.0,15.0,152.43,8,At Risk,1.0,8.966470588235294,7.5
1,1.0,1,High Risk,0,1.0,Computer,1,16.0,Credit Card,Male,3.0,5,Mobile Phone,5,Single,2,1,23.0,1.0,2.0,3.0,148.21,7,Hibernating,2.5,49.403333333333336,1.5
