y_true,churn_probability,churn_prediction,cashback_pct,risk_score,risk_category,risk_tier,cluster,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,rfm_total,rfm_segment,device_per_tenure,cashback_per_order,inactivity_ratio,persona,recommended_action
0,0.0018691588193178177,0,22.71875,0.0759,Very Low,Low Risk,0,17.0,Computer,3,9.0,Debit Card,Male,4.0,4,Laptop & Accessory,1,Married,3,0,21.0,6.0,8.0,8.0,181.75,11,Champions,0.2222222222222222,20.194444444444443,0.4444444444444444,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0,0,209.34,0.6997,Critical,High Risk,3,26.0,Mobile,3,13.0,E wallet,Female,3.0,4,Fashion,1,Married,8,1,18.0,0.0,1.0,,209.34,12,Recent Customers,0.1481481481481481,104.67,,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.0,0,84.62,0.2828,Medium,Medium Risk,1,5.0,Mobile,1,15.0,Debit Card,Female,4.0,4,Laptop & Accessory,1,Single,3,0,24.0,2.0,2.0,9.0,169.24,7,Loyal,0.6666666666666666,56.41333333333333,1.5,Đô thị Trung thành,💳 Gửi mã Freeship định kỳ
0,0.0,0,66.06,0.2208,Low,Low Risk,3,25.0,Mobile,1,8.0,Debit Card,Female,2.0,4,Mobile,2,Single,8,0,15.0,0.0,2.0,2.0,132.12,7,Recent Customers,0.1538461538461538,44.04,0.0769230769230769,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.04102564156055451,0,22.05777777777778,0.074,Very Low,Low Risk,0,4.0,Computer,3,8.0,Debit Card,Female,2.0,3,Fashion,3,Married,2,1,19.0,8.0,9.0,6.0,198.52,11,Champions,0.6,19.852,1.2,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0,0,160.085,0.5351,Critical,High Risk,0,24.0,Mobile,3,7.0,Credit Card,Female,4.0,4,Others,1,Married,5,0,,2.0,2.0,7.0,320.17,11,Champions,0.16,106.72333333333334,0.28,VIP Ổn định,"🎁 VIP Care: Liên hệ cá nhân, tặng quà tri ân"
0,0.01764705926179886,0,22.18625,0.0743,Very Low,Low Risk,0,12.0,Computer,3,9.0,Debit Card,Male,3.0,5,Laptop & Accessory,2,Divorced,5,0,19.0,7.0,8.0,6.0,177.49,11,Champions,0.3846153846153846,19.721111111111117,0.4615384615384615,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0,0,73.85,0.2468,Low,Low Risk,2,19.0,Mobile,1,7.0,Credit Card,Female,4.0,4,Mobile Phone,2,Married,5,0,15.0,1.0,2.0,3.0,147.7,7,Hibernating,0.2,49.23333333333333,0.15,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.010606060922145843,0,96.665,0.3232,Medium,Medium Risk,1,5.0,Mobile,1,18.0,Credit Card,Male,4.0,4,Laptop & Accessory,5,Divorced,3,1,13.0,1.0,2.0,2.0,193.33,11,Loyal,0.6666666666666666,64.44333333333334,0.3333333333333333,Đô thị Trung thành,💳 Gửi mã Freeship định kỳ
0,0.0,0,89.17333333333333,0.298,Medium,Medium Risk,0,20.0,Mobile,1,8.0,UPI,Female,2.0,3,Grocery,2,Divorced,2,1,11.0,,3.0,0.0,267.52,14,Champions,0.1428571428571428,66.88,0.0,VIP Ổn định,⭐ Đề xuất nâng cấp gói hội viên (Up-sell)
0,0.0,0,148.76,0.4972,Critical,High Risk,3,16.0,Mobile,1,33.0,Cash on Delivery,Male,2.0,1,Mobile Phone,4,Married,6,0,12.0,1.0,1.0,2.0,148.76,7,Recent Customers,0.0588235294117647,74.38,0.1176470588235294,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
1,0.9797792553901672,1,187.22,0.6334,Critical,High Risk,2,0.0,Computer,1,30.0,Cash on Delivery,Male,3.0,4,Fashion,5,Single,2,0,12.0,1.0,1.0,9.0,187.22,7,Hibernating,4.0,93.61,9.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.0018691588193178177,0,17.71,0.0592,Very Low,Low Risk,0,19.0,Computer,1,14.0,Debit Card,Male,4.0,4,Fashion,5,Married,3,0,19.0,6.0,10.0,12.0,177.1,10,Champions,0.2,16.099999999999998,0.6,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0,0,23.64428571428571,0.079,Very Low,Low Risk,1,22.0,Mobile,3,9.0,E wallet,Female,3.0,4,Laptop & Accessory,1,Married,4,0,15.0,7.0,7.0,8.0,165.51,9,Loyal,0.1739130434782608,20.68875,0.3478260869565217,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.04102564156055451,0,85.29,0.2854,Medium,Medium Risk,1,2.0,Mobile,1,24.0,Credit Card,Male,4.0,4,Laptop & Accessory,5,Married,3,0,13.0,1.0,2.0,9.0,170.58,7,Loyal,1.3333333333333333,56.86000000000001,3.0,Đô thị Trung thành,💳 Gửi mã Freeship định kỳ
0,0.01764705926179886,0,38.38857142857143,0.1284,Very Low,Low Risk,0,19.0,Mobile,3,8.0,Cash on Delivery,Female,3.0,5,Grocery,4,Married,4,1,12.0,,7.0,7.0,268.72,12,Champions,0.25,33.59,0.35,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0,0,120.44,0.4026,High,High Risk,2,,Mobile,1,6.0,Debit Card,Male,2.0,3,Mobile,1,Married,2,0,11.0,0.0,1.0,3.0,120.44,5,Hibernating,3.0,60.22,3.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.0018691588193178177,0,67.53,0.2257,Low,Low Risk,3,8.0,Mobile,1,12.0,Debit Card,Male,3.0,3,Mobile,3,Divorced,1,1,14.0,1.0,2.0,2.0,135.06,7,Recent Customers,0.3333333333333333,45.02,0.2222222222222222,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0,0,236.03,0.7889,Critical,High Risk,0,10.0,Computer,1,6.0,Credit Card,Female,0.0,3,Fashion,2,Married,3,1,18.0,0.0,,2.0,236.03,14,Champions,0.2727272727272727,236.03,0.1818181818181818,VIP Ổn định,"🎁 VIP Care: Liên hệ cá nhân, tặng quà tri ân"
0,0.010606060922145843,0,61.443333333333335,0.2054,Low,Low Risk,0,18.0,Mobile,1,11.0,Credit Card,Male,3.0,4,Laptop & Accessory,4,Single,11,0,13.0,2.0,3.0,4.0,184.33,11,Champions,0.2105263157894736,46.0825,0.2105263157894736,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
0,0.2263565957546234,0,49.13666666666666,0.166,Low,Low Risk,2,0.0,Computer,1,17.0,Credit Card,Male,2.0,3,Laptop & Accessory,5,Married,2,1,13.0,1.0,3.0,3.0,147.41,9,Hibernating,3.0,36.8525,3.0,Đô thị Trung thành,✅ Duy trì chăm sóc tiêu chuẩn
0,0.0,0,21.28076923076923,0.0711,Very Low,Low Risk,0,15.0,Mobile,1,8.0,Credit Card,Male,2.0,3,Grocery,5,Divorced,1,0,17.0,,13.0,7.0,276.65,12,Champions,0.1875,19.760714285714283,0.4375,VIP Ổn định,✅ Duy trì chăm sóc tiêu chuẩn
1,0.9743176698684692,1,120.18,0.4093,High,High Risk,3,,Mobile,1,15.0,Debit Card,Male,2.0,3,Mobile,5,Single,4,0,14.0,1.0,1.0,0.0,120.18,7,Recent Customers,3.0,60.09,0.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.01764705926179886,0,149.78,0.5008,Critical,High Risk,3,20.0,Computer,3,8.0,E wallet,Male,2.0,3,Laptop & Accessory,4,Married,8,0,11.0,0.0,1.0,0.0,149.78,8,Recent Customers,0.1428571428571428,74.89,0.0,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
0,0.0,0,177.56,0.5935,Critical,High Risk,2,7.0,Computer,1,9.0,Debit Card,Male,2.0,3,Laptop & Accessory,2,Single,1,0,17.0,1.0,1.0,4.0,177.56,8,Hibernating,0.375,88.78,0.5,Đô thị Trung thành,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng
