Feature,Mutual Information,Correlation,Mean SHAP Impact,Dominance Rank
device_per_tenure,0.361702,0.580431,1.797158,1
Tenure,0.360968,-0.50317,0.419966,2
NumberOfAddress,0.245892,0.051225,0.864133,3
DaySinceLastOrder,0.235335,-0.211458,0.305104,4
Complain,0.074489,0.294918,0.899077,5
WarehouseToHome,0.291608,0.075911,0.368283,6
inactivity_ratio,0.233036,0.217028,0.139433,7
NumberOfDeviceRegistered,0.211984,0.163136,0.372691,8
CouponUsed,0.223537,-0.026338,0.706867,9
SatisfactionScore,0.188972,0.150862,0.477619,10
CashbackAmount,0.185449,-0.246712,0.194482,11
MaritalStatus,0.083333,0.22588,0.541009,12
HourSpendOnApp,0.185724,0.009576,0.612297,13
cashback_per_order,0.184905,-0.150581,0.172477,14
OrderAmountHikeFromlastYear,0.24353,-0.038188,0.177975,15
PreferedOrderCat,0.101237,0.211376,0.337653,16
rfm_total,0.21149,-0.082445,0.104634,17
OrderCount,0.154531,-0.058344,0.100654,18
rfm_segment,0.057072,0.191219,0.196866,19
PreferredPaymentMode,0.05327,0.085535,0.348522,20
kmeans_cluster_id,0.028913,0.194414,0.012593,21
CityTier,0.026017,0.105327,0.282197,22
PreferredLoginDevice,0.028906,-0.07226,0.251456,23
Gender,0.032879,0.051835,0.148779,24
