feature,count,pct
Seat comfort,4482,86.34174532845309
Inflight entertainment,3539,68.17568869196687
loyal,2523,48.60335195530726
inflight_experience_score,1388,26.738586014255443
Gate location,511,9.84396070121364
Ease of Online booking,497,9.574263147755731
Departure/Arrival time convenient,467,8.996339818917356
Age,404,7.782700828356772
Online support,328,6.318628395299557
Cleanliness,300,5.7792332883837405
Class_ord,300,5.7792332883837405
Baggage handling,279,5.37468695819688
Checkin service,185,3.56386052783664
Leg room service,77,1.4833365440184936
Departure Delay in Minutes,76,1.4640724330572144
Flight Distance,75,1.4448083220959351
On-board service,49,0.9439414371026777
Online boarding,47,0.9054132151801194
ground_experience_score,22,0.423810441148141
biz_travel,10,0.19264110961279135
Food and drink,7,0.13484877672895396
delay_severity,4,0.07705644384511655
Inflight wifi service,3,0.05779233288383741
