customer_index,risk_category,risk_score,cluster_id,persona_label,top_driver_1,top_driver_1_shap_value,top_driver_1_actual_rating,top_driver_2,top_driver_2_shap_value,top_driver_2_actual_rating,top_driver_3,top_driver_3_shap_value,top_driver_3_actual_rating
0,Low,0.3,C1,Trải Nghiệm Kém,Inflight entertainment,-0.7018,3.0,Online support,-0.4769,3.0,Departure/Arrival time convenient,-0.3831,
1,Medium,0.628,C1,Trải Nghiệm Kém,Leg room service,-0.5503,3.0,Checkin service,-0.3745,1.0,Class_ord,-0.2508,2.0
2,High,0.6999,C1,Trải Nghiệm Kém,Seat comfort,-1.7633,1.0,Inflight entertainment,-1.495,1.0,inflight_experience_score,-1.4763,1.86
3,Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.4338,5.0,Departure/Arrival time convenient,-0.2358,5.0,Flight Distance,-0.156,2322.0
4,Medium,0.4674,C1,Trải Nghiệm Kém,biz_travel,-0.8316,0.0,Gate location,-0.4061,2.0,Departure/Arrival time convenient,-0.3345,4.0
5,Critical,0.998,C1,Trải Nghiệm Kém,Seat comfort,-1.2849,3.0,Inflight entertainment,-1.1559,3.0,Departure/Arrival time convenient,-0.7983,5.0
6,Medium,0.3164,C0,Hài Lòng Toàn Diện,Inflight entertainment,-0.8153,3.0,Departure/Arrival time convenient,-0.342,5.0,Departure Delay in Minutes,-0.3383,71.0
7,Critical,0.9226,C1,Trải Nghiệm Kém,Seat comfort,-1.1493,3.0,Inflight entertainment,-1.1267,3.0,Baggage handling,-0.6285,3.0
8,Very Low,0.0,C1,Trải Nghiệm Kém,Departure/Arrival time convenient,-0.5734,,Inflight entertainment,-0.4722,,Checkin service,-0.1171,2.0
9,Very Low,0.0,C1,Trải Nghiệm Kém,inflight_experience_score,-0.5917,2.43,ground_experience_score,-0.1306,2.2,Class_ord,-0.0973,0.0
10,Very Low,0.2287,C0,Hài Lòng Toàn Diện,Seat comfort,-0.5494,4.0,Online boarding,-0.1765,2.0,Cleanliness,-0.1339,4.0
11,Very Low,0.0009,C0,Hài Lòng Toàn Diện,biz_travel,-0.8805,0.0,Flight Distance,-0.6868,3702.0,Class_ord,-0.2932,0.0
12,Very Low,0.2524,C1,Trải Nghiệm Kém,Seat comfort,-0.9133,2.0,inflight_experience_score,-0.4815,2.57,Inflight entertainment,-0.4768,2.0
13,Low,0.3,C0,Hài Lòng Toàn Diện,loyal,-1.4073,0.0,Flight Distance,-0.6358,4147.0,Baggage handling,-0.2786,3.0
